BW,Min,P_Min,Max,P_Max,Avg,P_Avg,Samples,,,,,,,
1355,4.2,7.8601,4.255,7.9225,4.224,7.88919518648,12,,,,,,,
1360,4.199,7.8599,4.264,7.9238,4.22733333333,7.889439630924,12,,,,,,,
1365,4.209,7.8611,4.278,7.9245,4.2447,7.889331297591,10,,,,,,,
1370,4.197,7.8601,4.261,7.9223,4.22075,7.886461297591,12,,,,,,,
1375,4.196,7.8606,4.234,7.9238,4.21392307692,7.887750583305,13,,,,,,,
1380,4.198,7.8611,4.267,7.9281,4.225,7.890008275613,15,,,,,,,
1385,4.199,7.8615,4.275,7.9284,4.2377,7.890081608946,10,,,,,,,
1390,4.209,7.8615,4.269,7.9286,4.24214285714,7.889403916638,14,,,,,,,
1395,4.197,7.8606,4.261,7.9283,4.22554545455,7.888703916638,11,,,,,,,
1400,4.197,7.8617,4.261,7.929,4.23085714286,7.889292228326,14,,,,,,,
1405,4.198,7.8623,4.268,7.93,4.22644444444,7.889741808158,9,,,,,,,
1410,4.211,7.8627,4.271,7.9267,4.22625,7.889109863714,12,,,,,,,
1415,4.199,7.8612,4.256,7.9261,4.216,7.888962641492,12,,,,,,,
1420,4.202,7.8614,4.276,7.927,4.23364285714,7.890229308159,14,,,,,,,
1425,4.201,7.8617,4.277,7.9267,4.2365,7.889965022445,10,,,,,,,
1430,4.202,7.8615,4.27,7.9259,4.22573333333,7.888475022445,15,,,,,,,
1435,4.199,7.8611,4.277,7.9261,4.23092307692,7.889641689112,13,,,,,,,
1440,4.2,7.8613,4.266,7.9267,4.23514285714,7.890387842958,14,,,,,,,
1445,4.208,7.8615,4.268,7.9276,4.23142857143,7.890886057244,7,,,,,,,
1450,4.203,7.8621,4.271,7.9286,4.23535294118,7.892383200101,17,,,,,,,
1455,4.202,7.862,4.235,7.9279,4.220125,7.892436794872,8,,,,,,,
1460,4.196,7.862,4.265,7.9315,4.22477777778,7.893397022145,9,,,,,,,
1465,4.201,7.8627,4.265,7.9333,4.22866666667,7.893889244367,15,,,,,,,
1470,4.205,7.8638,4.273,7.9338,4.231,7.8940225777,9,,,,,,,
1475,4.199,7.8646,4.269,7.9319,4.2216,7.893939244367,5,,,,,,,
1480,4.198,7.8647,4.272,7.9324,4.2374,7.894534799923,10,,,,,,,
1485,4.201,7.865,4.283,7.9325,4.23838461538,7.893958436287,13,,,,,,,
1490,4.202,7.8652,4.275,7.931,4.240125,7.89351088384,8,,,,,,,
1495,4.214,7.8651,4.278,7.9295,4.2464,7.89233588384,5,,,,,,,
1500,4.202,7.8637,4.264,7.9286,4.23588888889,7.891034345378,9,,,,,,,
1505,4.202,7.8635,4.271,7.9294,4.22972727273,7.890670456489,11,,,,,,,
1510,4.203,7.8633,4.283,7.9302,4.2297,7.891297729216,10,,,,,,,
1515,4.212,7.8633,4.27,7.9271,4.23,7.890316618105,11,,,,,,,
1520,4.213,7.8623,4.254,7.9275,4.23016666667,7.891779118105,6,,,,,,,
1525,4.2,7.8618,4.274,7.9295,4.22755555556,7.891018006994,9,,,,,,,
1530,4.201,7.8619,4.273,7.93,4.23163636364,7.891551340327,11,,,,,,,
1535,4.203,7.8629,4.268,7.9309,4.23390909091,7.891942249418,11,,,,,,,
1540,4.201,7.8636,4.26,7.9321,4.228375,7.891863840327,8,,,,,,,
1545,4.2,7.8644,4.269,7.9341,4.23338461538,7.893361634445,13,,,,,,,
